Id,commonName,botanicalName,plantPic,plantsLink,wateringInformation,typeOf,exposure,generalInformation,plantingGuide,pestsDiseases,careGuide
64,Parsley,Petroselinum crispum,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/parsley.jpg?itok=pOvuzLG0,http://www.almanac.com/plant/parsley,2,Herb,Full Sun,"Parsley is a biennial plant with bright green, featherlike leaves and is in the same family as dill. This herb is used in soups, sauces, and salads, and it lessens the need for salt in soups. Not only is it the perfect garnish, but also it is healthy; it's rich in iron and vitamins A and C.",null,null,"Be sure to water the seeds often while they germinate so that they don't dry out. Throughout the summer, be sure to water the plants evenly."
65,Celery,Apium graveolens,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/celery_stalks.jpg?itok=R0ERZTS0,http://www.almanac.com/plant/celery,3,Vegetable,Full Sun,"Celery is a long-season crop that can be tricky to grow, some might say, the trickiest of all. It likes fertile soil, cool temperatures, and constant moisture. It will not tolerate heat and can be hard to transplant. Summer crops in the north and winter crops in the south make celery a year-round producer. All the work is worth it when you harvest crunchy, green stalks.",null,null,"Celery is a heavy feeder. It also requires lots of water. Make sure to provide plenty of water during the entire growing season, especially during hot, dry weather. If celery does not get enough water, the stalks will be dry, and small. Add plenty of compost and mulch around the plants to retain moisture. Fertilize regularly. Add mulch as needed, to help retain soil moisture and add nutrients. Tie growing celery stalks together to keep them from sprawling."
66,Basil,Ocimum basilicum,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/basil.jpg?itok=7tD3SoM2,http://www.almanac.com/plant/basil,2,Herb,Full Sun,"Basil is a leafy, fragrant annual with a bushy appearance. The most common type of basil is sweet basil; other types include purple basil (less sweet than common basil), Lemon basil (lemon flavor), and Thai basil (licorice flavor). Basil is easy to grow and works well in Italian dishes, but it only grows in the summer, so plan accordingly.",null,null,"Make sure that the soil is moist. Basil plants like moisture. If you live in a hot area, use mulch around the basil plants (the mulch will help keep the soil moist). Make sure to pick the leaves regularly to encourage growth throughout the summer. After 6 weeks, pinch off the center shoot to prevent early flowering. If flowers do grow, just cut them off. If the weather is going to be cold, be sure to harvest your basil beforehand, as the cold weather will destroy your plants."
67,Cherries,Prunus avium (Sweet Cherries) Prunus cerasus (Sour Cherries),http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/cherry-400.jpg?itok=6rtHwJtE,http://www.almanac.com/plant/cherries,1,Fruit,Full Sun,"Sweet cherries are the ones most often found in markets. They have a thick, rich, and almost plumb-like texture. Traditionally, sweet cherry trees are self-sterile and best for an orchard or a large garden. You'll need at least two or three trees so that they can pollinate each other. However, a recent and exciting development in sweet cherries is the dwarf self-pollinating €œStella.€ (See image below.)",null,null,Thinning is not necessary. Apply mulch to retain moisture. Drape netting over trees to protect the fruit from birds. Water routinely in dry areas. There is no difference in care between sour and sweet cherries.
68,Rhubarb,Rheum rhabarbarum,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/Rhubarb.jpg?itok=GuE4vSPu,http://www.almanac.com/plant/rhubarb,3,Fruit,Full Sun,"Rhubarb is a perennial vegetable, though it is generally used as a fruit in desserts and jams. You only eat the stalks, which have a rich tart flavor. The leaves of this plant are poisonous, so be sure that they are not ingested. Rhubarb is easy to grow, but needs cool weather to thrive.",null,null,"Mulch generously with a heavy layer of straw and cow manure to provide nutrients for the plant, retain moisture, and discourage weeds. Water your plant well. It needs sufficient moisture during the summer. Remove seed stalks as soon as they appear. After the first spring, apply a light sprinkling of a high-nitrogen fertilizer (25-3-3 or 10-6-4) when the ground is thawing or has just thawed, so that the fertilizer will go into the ground and not harm the roots. Insects and diseases won't bother rhubarb plants as long as you keep the plants weed-free. Dig and split rhubarb roots every 3 to 4 years. Divide when plants are dormant in early spring (or fall)."
69,Hydrangea,Hydrangea,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/hydrangea-shrub.jpg?itok=Ny822I0a,http://www.almanac.com/plant/hydrangea,3,Shrub,Full Sun,"With immense flower heads,hydrangeas flaunt an old-fashioned charm that is hard to resist. Colors also beguile with clear blues, vibrant pinks, frosty whites, lavender, and rose€”sometimes all blooming on the same plant!",null,Click links for common pest pages:,"For the first year or two after planting and during any drought, be sure hydrangeas get plenty of water. Leaves will wilt if the soil is too dry. If your soil is rich, you may not need to fertilize hydrangeas. If your soil is light or sandy, it's best to feed the plants once a year n late winter or spring. Too much fertilizer encourages leafy growth at the expense of blooms. In the fall, cover plants to a depth of at least 18 inches with bark mulch, leaves, pine needles, or straw. If at all possible, cover the entire plant, tip included, by making cages out of snow fencing or chicken wire, and loosely filling the cages with leaves. (Do not use maple leaves.). Many of our readers' questions are about pruning a hydrangea. And no wonder it's confusing! It depends on the variety of hydrangea. Common Hydrangea Shrubs The most common garden hydrangea shrub is the Bigleaf variety, H. macrophylla). One type of Bigleaf is the €œMophead€ with the big snowball-size blooms. The other type of Bigleaf is the €œLacecap€ with the pretty flowers almost hanging down from a flat center of tiny blooms. The Bigleaf variety or,H. macrophylla, as well as H. paniculata and H. quercifolia are pruned AFTER the flowers fade. Flower buds actually form in the late summer and flower afterwards the following season, so avoid pruning after August 1.Only cut away dead wood in the fall or very early spring. To prune, cut one or two of the oldest stems down to the base to encourage branching and fullness. If the plant is old or neglected or damaged, prune all the stems down to at the base. You'll lose the flowers for the upcoming season, but also renovate the plant for future years. It's best not to deadhead (remove faded blooms) on the big mopheads; leave them over the winter and cut them back in early spring (to the first healthy pair of buds). It's fine to deadhead the lacecaps; cut down to the second pair of leaves below the flower head. Other Hydrangeas: Oakleaf, panicle, and smooth hydrangeas are treated differently. They blossom on the current seasons' wood. They should be pruned in the later winter when the plant is dormant BEFORE bloom. This means if the buds are killed during the winter, they will produce new buds in the spring which will produce blooms. In general, prune only dead branches, and do not prune to €œshape€ the bush."
70,Figs,Ficus,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/figs.jpg?itok=UYmP482H,http://www.almanac.com/plant/figs,2,Fruit,Full Sun,"Figs are a delicious treat that has tropical and subtropical origins. They thrive in areas with long and hot summers, though they can also be grown in containers. Figs can be eaten fresh from the tree, preserved, or used in cooking.",null,null,"Be sure to water the young trees regularly to help them become established. In areas with dry climates, water fig trees deeply at least once a week. Unless grown in containers, most fig trees do not require regular fertilization. However, if your fig tree is not growing much (less than 12 inches in one growing season), you can add ½ to 1 pound of nitrogen. Divide up the nitrogen into 3 to 4 feedings. Start applying the nitrogen in late winter and end in midsummer. You can also apply a layer of mulch around the tree to help prevent weeds and keep in moisture for the roots. Fig trees require little pruning. During the dormant season, be sure to remove all dead, diseased, or weak branches to encourage growth. If you have an abundant growth of figs, you can thin the fruit to encourage larger figs."
71,Sunflowers,Helianthus,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/photo_2712.jpg?itok=GCvTJigf,http://www.almanac.com/plant/sunflowers,1,Flower,Full Sun,Where to buy sunflowers: Burpee Gardening,null,null,"While the plant is small, water around the root zone, about 3 to 4 in. from the plant. To protect the plant, it may help to put snail or slug bait around the site Once the plant is established, water deeply though infrequently to encourage deep rooting. Unless the weather is exceptionally wet or dry, water once a week with several gallons of water. Feed plants only sparingly; overfertilization can cause stems to break in the fall. You can add diluted fertilizer into the water, though avoid getting the fertilizer near the plant's base; it may help to build a moat in a circle around the plant about 18 inches out. Tall species and cultivars require support. Bamboo stakes are a good choice for any plant that has a strong, single stem and needs support for a short period of time."
72,Blackberries,Rubus fruticosus,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/blackberry.jpg?itok=-AnsU93-,http://www.almanac.com/plant/blackberries,2,Fruit,Full Sun,"Blackberries are a very easy fruit to grow. However tempting, do not grow plants unless you are certain they are virus-free since viruses are a widespread problem with blackberries. Select high quality plants from a nursery with a good reputation.",null,"If your plant is suffering from the blackberry disease known as Raspberry Bushy Dwarf virus, the leaves will be have some bright yellow on them, and the leaves of the fruiting vanes may have a bleached look in the summer. The disease known as Blackberry Calico will cause faint yellow blotches on the leaves of the plant.","Trellising and Pruning Trellises should be constructed for blackberries. For trailing varieties, explore a two-wire system, running a top wire at five to six feet with a second line 18 inches below the top wire. After the first year, there will be fruiting floricanes along the wires. Train the new primocanes into a narrow row below the fruiting canes. Directing all canes in one direction may make it simpler. After the fruit harvest period, the old fruiting (floricanes) are removed to the ground. However, unless there is a lot of disease, it's best to delay removing the old fruiting canes until they have died back considerably. This allows the dying canes to move nutrient back into the crown and roots. After old fruiting canes are removed, train the primocanes up on the wires. Work with one or two canes at a time in a spiral around the trellis wires. Canes from adjacent plants may overlap a little. No pruning of primocanes is necessary. In area with low winter temperatures, leave the primocanes on the ground for the winter where they could be mulched for winter protection. In the spring, after damage of extreme cold has passed, train the old primocanes (now floricanes) up on the wires. Avoid working with the canes in cold weather, as they are more prone to breaking. Erect blackberries produce stiff, shorter canes that come from the crown and root suckering (forming a hedgerow). A T-trellis works well to support erect blackberries. Erect blackberries require summer pruning. Remove the top one to two inches of new primocanes when they are four feet tall. This causes the canes to branch, increasing next year's yields. This will require several pruning sessions to tip each cane as it reaches the four foot height. Primocanes (suckers) that grow outside the hedgerow should be regularly removed. In the winter, remove the dead floricanes (old fruiting canes) from the hedgerow. Also shorten the lateral branches to about 1½ to 2½ feet. With primocane-fruiting erect blackberries, cut all canes off just above the ground in the late winter for the best fruit. In the summer, when the primocanes are 3½ feet tall, removed the top 6 inches. The primocanes will branch, thereby producing larger yields in the fall. Semi-erect blackberries are vigorous and easier to manage on a Double T Trellis. Install four-foot cross arms at the top of a six foot post. Install a three-foot cross arm about two-feet below the top line. String high-tensile wire down the rows, connecting to the cross arms. These berries need to be pruned in the summer. When the primocanes are five feet tall, remove the top two inches to encourage branching. This will require several pruning sessions to prune canes as they reach the height. In the winter, remove the dead floricanes (old fruiting canes). Spread the primocanes (new floricanes) out along the trellis. Canes do not need to be shortened. However, they can be if they are difficult to train. Mulching is important throughout the season to conserve moisture and suffocate weeds. Keep a thick layer of mulch surrounding plants at all times. Water one inch per week. The roots may keep sending up an abundant amount of shoots (canes). Keep order by pruning away the majority of them so that the survivors can produce lots of berries."
73,Pears,Pyrus,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/pears.jpg?itok=Ikm_pOz6,http://www.almanac.com/plant/pears,2,Fruit,Full Sun,"Pears are a delicious treat that can be grown in a wide range of soils. Pear trees are also easy to make fit in small yard spaces, making them a good choice for gardeners who crave fresh fruit.",null,null,"Water the young trees well during dry spells to help establish the roots. Apply a small amount of fertilizer early in the year. Add …› pound of ammonium nitrate per tree multiplied by the number of years the tree has been set in moderately fertile soil. If you have highly fertile soil, use less fertilizer. If the leaves are pale green or yellowish during the summer, use a little more fertilizer the next year. If the tree grows more than 12 inches in one season, use less fertilizer the next year. Be very careful when applying fertilizer! If you give your trees too much nitrogen, they will become more susceptible to fire blight. For dwarf trees, prune them to a central leader system. Standard-size trees can be pruned to either a central leader system or a modified leader system, which is easier to maintain. The central leader system features a central trunk with branches that spiral out every 5 to 8 inches, making sure that no branch is directly above another. The training for such a system begins in the early summer of the first year, during which time you should remove any shoots that form within 18 inches of the ground. The end result should resemble a Christmas tree. Use spreaders to help shape the branches of the trees. These help the branches to spread outward rather than upward. When the branches are small, you can use clothespins to push the branches away from the main trunk. For bigger branches, use wooden slats with a V shape notched into each end. Prune your trees regularly, generally lightly. Remember to thin the fruit as well, leaving about 6 inches between each cluster of fruit per branch. After your trees are established, water them regularly."
74,Christmas Cactus,Schlumbergera hybrids,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/photo_10978.jpg?itok=FAQ42elH,http://www.almanac.com/plant/christmas-cactus,1,Houseplant,Part Sun,"Christmas Cacti are easy to grow. When they bloom, they produce beautiful colors of pink or lilac. If exposed to any type of stress, they will drop their blossoms. If the cacti sheds its buds in a winter, it will bloom the following year.",null,"May be susceptible to mealy bugs and, if over-watered, root rot.","From spring through summer feed every 2 weeks with a fertilizer and keep the soil moist. During the fall and winter feed the cactus monthly. Allow soil to almost dry between waterings. If the stems look shriveled, it is an indication of too little watering."
75,Black-eyed Susans,Rudbeckia hirta and other species,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/photo_7932.jpg?itok=x7ibgHur,http://www.almanac.com/plant/black-eyed-susans,3,Flower,Full Sun,"Black-eyed Susans (Rudbeckia hirta) are native to North America and one of the most popular wildflowers grown. They tend to blanket open fields, often surprising the passer-by with their golden-yellow beauty.",null,null,"Check your plants regularly to see if they need watering. Make sure they don't dry out. Divide perennial types every 3 to 4 years to ensure healthy plants and to prevent excessive spreading. Be sure to remove faded/dead flowers to prolong blooming. You can cut back black-eyed Susans after they flower and a second, smaller bloom may occur in late fall."
76,Okra,Abelmoschus esculentus,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/okra.jpg?itok=PWkYZNZj,http://www.almanac.com/plant/okra,2,Vegetable,Full Sun,Okra is traditionally a southern U.S. plant that thrives in warm weather. It is easy to grow and use and looks great throughout the growing season due to its beautiful flowers. Okra is also rich in vitamin A and low in calories.,null,null,"Eliminate weeds when the plants are young, then mulch heavily to prevent more weeds from growing. Apply a layer of mulch 4 to 8 inches high. You should also side-dress the plants with 10-10-10, aged manure, or rich compost (½ pound per 25 feet of row). You could also apply a balanced liquid fertilizer monthly. When the seedlings are about 3 inches tall, thin the plants so that they are 10 to 18 inches apart. Keep the plants well watered throughout the summer months; 1 inch of water per week is ideal, but use more if you are in a hot, arid region. After the first harvest, remove the lower leaves to help speed up production."
77,Dahlias,Dahlia,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/photo_8656.jpg?itok=IFMlZSV4,http://www.almanac.com/plant/dahlias,3,Flower,Full Sun,Where to buy dahlia seeds and bulbs: Burpee Gardening,null,null,"There's no need to water the soil until the dahlia plants appear; in fact, overwatering can cause tubers to rot. After dahlias are established, provide a deep watering 2 to 3 times a week for at least 30 minutes with a sprinkler (and more in dry, hot climates). Dahlias benefit from a low-nitrogen liquid fertilizer (similar to what you would use for vegetables) such as a 5-10-10 or 10-20-20. Fertilize after sprouting and then every 3 to 4 weeks from mid-summer until early Autumn. Do NOT overfertilize, especially with nitrogen, or you risk small/no bloms, weak tubers, or rot. Like many large-flower hybrid plants, the big dahlias may need extra attention before or after rain, when open blooms tend to fill up with water or take a beating from the wind. Bedding dahlias need no staking or disbudding; simply pinch out the growing point to encourage bushiness, and deadhead as the flowers fade. Pinch the center shoot just above the third set of leaves. For the taller dahlias, insert stakes at planting time. Moderately pinch, disbranch, and disbud, and deadhead to produce a showy display for 3 months or more. Dahlia foliage blackens with the first frost. Dahlias are hearty to zone 8 and can be cut back and left in the ground to overwinter; cover with a deep, dry mulch. Elsewhere, the tuberous roots should be lifted and stored during the winter. (Some readers find, however, that dahlias will survive in zone 7 if the winter isn't too severe.)"
78,Parsnips,Pastinaca sativa,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/parsnip.jpg?itok=960c0Gel,http://www.almanac.com/plant/parsnips,2,Vegetable,Full Sun,"Parsnips, popular with ancient Greeks and Romans, were brought over to the Americas with the first colonists. Although parsnips are biennials, they are usually grown as an annual vegetable. Parsnips are a hardy, cool-season crop that is best harvested after a hard frost. Parsnips are not only tasty in soups and stews, but can also be enjoyed by themselves.",null,null,Thin the seedlings to stand 3-6 inches apart. Water during the summer if rainfall is less than 1 inch per week. Always keep the beds free of weeds.
79,Aloe Vera,Aloe barbadensis,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/b628-0120040.jpg?itok=0-kgO1MJ,http://www.almanac.com/plant/aloe-vera,1,Houseplant,Full Sun,Aloe Vera has variegated leaves that flow out from its center base. Aloe can be kept in a pot in the kitchen near a window for every day use. The juice from its leaves will relieve pain from scrapes and burns.,null,"Aloes are prone to mealybugs and scale. Some common diseases are root rot, soft rot, fungal stem, and leaf rot.","Water aloe deeply but then allow the soil to dry at least 1 to 2 inches deep between waterings, in order to discourage rot; water even less in winter. Aloe plants produce offsets or plantlets that can be removed to produce an entirely new plant. Knock your Aloe out of its pot and find where the offsets are attached. Sever them from the mother plant with a knife. Allow the cuts on the offsets and the mother plant to callus over for a day or two. Pot them in a standard potting mix. Put in a sunny location. Wait a week to water and keep the soil on the dry side."
80,Sedum,Sedum,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/sedum_0.jpg?itok=AykPkMpy,http://www.almanac.com/plant/sedum,1,Flower,Full Sun,"Sedum is a perennial with thick, succulent leaves, fleshy stems, and clusters of star-shaped flowers. There are many types of sedums, which all have different uses: use low€“growing varieties for ground covers and rock gardens and tall varieties for back borders. Sedums are easy to care for and are good for cut flowers.",null,null,"Once established, sedums require little care. Check your plants regularly to make sure they are not dry and water when needed. After flowering, cut back the plants to maintain their shape. Remember to divide your plants in the spring or fall to control their spread. Throughout the summer, divisions and cuttings root readily."
81,Impatiens,Impatiens,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/photo_13714.jpg?itok=t9U3unWd,http://www.almanac.com/plant/impatiens,1,Flower,Part Sun,Impatiens is a beautiful annual that makes an excellent houseplant or summer bedding plant. It is also known as €œBusy Lizzie€ and its name is a Latin word that describes the way its seeds shoot out of its pods when ripe (the slightest touch can make a ripe impatiens seed pod burst open and scatter its seeds). Impatiens like shade and moisture.,null,null,"The most important thing to remember about impatiens plants is to water them regularly. Keep them moist, but not too wet. If the plants dry out, they will lose their leaves. If you over-water the plants, this could encourage fungal diseases. Remember container plants will need more water. "
82,Broccoli,Brassica oleracea,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/broccoli.jpg?itok=YKo46uE_,http://www.almanac.com/plant/broccoli,1,Vegetable,Full Sun,"Broccoli is a cool-season crop that, like spinach, can be grown in the spring or fall. In fact, you may be able to get a continual harvest throughout both seasons if you time planting correctly. A member of the cabbage family, broccoli is rich in vitamins.",null,null,"Fertilize three weeks after transplanting. Provide consistent soil moisture with regular watering, especially in drought conditions. Some varieties of broccoli are heat tolerant, but all need moisture. Do not get developing heads wet when watering. Roots are very shallow, do not cultivate. Suffocate weeds with mulch. Mulch will also help to keep soil temperatures down. "
83,Cauliflower,Brassica oleracea,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/cauliflower.jpg?itok=XoFZ4dTR,http://www.almanac.com/plant/cauliflower,2,Vegetable,Full Sun,"Cauliflower is a cool-season crop and a descendant of the common cabbage. It is more difficult to than its relatives because it does not tolerate the heat or cold as well. For this reason, cauliflower is usually grown commercially.",null,null,"Make sure that the plants have uninterrupted growth. Any interruption can cause the plants to develop a head prematurely or ruin the edible part completely. Cauliflower requires consistent soil moisture. They need 1 to 1.5 inches of water each week; with normal rainfall, this usually requires supplement watering. For best growth, side-dress the plants with a nitrogen fertilizer. Note that the cauliflower will start out as a loose head and it takes time for the head to form. Many varieties take at least 75 to 85 days from transplant. Be patient. When the curd (the white head) is about 2 to 3 inches in diameter, tie the outer leaves together over the head with a rubber band, tape, or twine. This is called blanching, and it protects the head from the sun and helps you get that pretty white color. The plants are usually ready for harvest 7 to 12 days after blanching. "
84,Asparagus,Asparagus officinalis,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/asparagus_0.jpg?itok=wWQiNH9N,http://www.almanac.com/plant/asparagus,2,Vegetable,Part Sun,"Asparagus is a perennial bulb and stem vegetable that greets us every spring. It may take 2 to 3 years to get started and produce, so patience is needed! But then the plant can be productive up to 20 years, so we think it's worth the wait.",null,null,"When the trench is filled, add a 4 to 8 inch layer of mulch and water regularly. Do not harvest the spears in the first year, but cut down dead foliage in late fall and side-dress with compost. During the second year, keep the bed thickly mulched, side-dress in spring and early fall, and cut down dead foliage in late fall. "
85,Petunias,Petunia,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/petunias.jpg?itok=dlLGDzdX,http://www.almanac.com/plant/petunias,1,Flower,Full Sun,"Petunias are one of the most popular flowers, often grown as annuals. They are tender perennials in Zones 9 to 11.",null,null,Petunias are tolerant of heat so you don't have to water them regularly. A thorough watering once a week should be sufficient (unless there are prolonged periods of drought in your area). The spreading types and those in containers require more frequent watering though. Fertilize your plants monthly to ensure good growth. Double-flowered cultivars like a biweekly dose of fertilizer. Remove faded/dead flowers to prolong blooming. 
86,Sweet Potato,Ipomoea batatas,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/sweet-potatoes.jpg?itok=8-4ofe0g,http://www.almanac.com/plant/sweet-potato,3,Vegetable,Full Sun,"The sweet potato is a warm-season, spreading vegetable of tropical origin. It is a good choice for a garden because it is easy to grow, is drought- / heat-tolerant, and has few pests or diseases. The sweet potato is also very nutritious and low in calories.",null,null,"Side-dress the potatoes 3 to 4 weeks after transplanting with 3 pounds of 5-10-10 fertilizer per 100 feet of row. If you have sandy soil, use 5 pounds. Hoe the beds occasionally to keep weeds down. Remember to reshape the beds with soil or mulch. For good harvests, do not prune the vines, because they should be vigorous. Remember to keep the potatoes watered. Deep watering in hot, dry periods will help to increase yields, although if you are planning to store some of the potatoes, do not give the plants extra water late in the season. "
87,Spinach,Spinacia oleracea,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/spinach1.jpg?itok=G_43tNcF,http://www.almanac.com/plant/spinach,2,Vegetable,Full Sun,"This super-cold-hardy vegetable is a tender crop that can be planted in very early spring as well as fall and winter. Spinach has similar growing conditions and requirements as lettuce, but it is more versatile in both its nutrition and its ability to be eaten raw or cooked. It is higher in iron, calcium, and vitamins than most cultivated greens, and one of the best sources of vitamins A, B, and C.",null,null,"Fertilize only if necessary due to slow growth, or use as a supplement if your soil's pH is inadequate. Use when plant reaches …“ growth. When seedlings sprout to about two inches, thin them to 3-4 inches apart. Beyond thinning, no cultivation is necessary. Roots are shallow and easily damaged. Keep soil moist with mulching. Water regularly. Spinach can tolerate the cold; it can survive a frost and temps down to 15ºF. "
88,Gladiolus,Gladiolus,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/gladiolus_0.jpg?itok=oZ-BFSMQ,http://www.almanac.com/plant/gladiolus,2,Flower,Full Sun,"Gladiolus is a perennial favored for its beautiful, showy flowers. Its flowers grow on tall spikes and are often found in cutting gardens or in the back along the border (because they are tall). Gladioli have many different colored flowers, and grow between 2 to 6 feet in height. It's good for cut flowers.",null,null,"Put a 2“ to 4“ inch layer of mulch around your gladioli to keep your soil moist and help prevent weeds. If you get less than 1 inch of rain a week, water your plants regularly throughout the summer. Otherwise, water them moderately when in growth to keep the soil moist. Remove the faded/dead flowers to ensure continuous growth. Once all the flowers on a stalk have gone, cut off the stalk. Be sure to leave the plant intact so it can mature and rejuvenate the corms for the next season. If you live in zones 7 or 8, put down a layer of hay or straw for winter protection. Corms should be dug before the last frost in you live in zone 7 or ones colder. See instructions below."
89,Butterfly Bush,Buddleia davidii,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/butterfly-bird.jpg?itok=SkSGkzjU,http://www.almanac.com/plant/butterfly-bush,2,Shrub,Full Sun,"Want a guaranteed butterfly and hummingbird magnet? Or, one of the most fragrant of shrubs? Plant a buddleia (butterfly bush).",null,null,"Water freely when in growth and sparingly otherwise. In the summer, water if rainfall is less than 1 inch per week. Avoid fertilizing butterfly bush; too much fertility supports leaf growth over flower production. Remove spent flower spikes to encourage new shoots and flower buds. Each spring, apply a thin layer of compost and mulch to retain moisture and control weeds. In cold Northern climates, spread mulch up to 6 inches deep around the trunk to nurture it through the winter. Buddleias are very late to break dormancy, so don't be in a hurry to assess winter damage. The bush should bloom abundantly even in its first year. In warmer climates, the bushes will grow into trees and develop rugged trunks that peel; peeling is normal. In the northern limit of their range, they behave as herbaceous perennials, dying back to the root in cold winters. Since they bloom on new wood, even if there is no die-back, cut them back to the ground every spring. Even where winters are mild enough for the stems to survive, prune severely to stimulate abundant growth on which flowers are borne."
90,Oregano,Origanum,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/oregano.jpg?itok=dKsna1sC,http://www.almanac.com/plant/oregano,1,Herb,Full Sun,Oregano is a perennial with rose-purple or white flowers and a taste reminiscent of thyme. Its taste is zesty and strong and is commonly used in Italian dishes. Oregano is a hardy plant and makes a good ground cover.,null,null,"Allow oregano to grow to about 4 inches and then pinch or trim lightly to encourage a denser and bushier plant. Regular trimming will not only cause the plant to branch again, but also avoid legginess. Oregano doesn't need quite as much water as most herbs. As the amount of watering depends on many variables, just water when the soil feels dry to the touch. Remember that it's better to water thoroughly and less often. If you have a container, water until the water comes out of the drainage holes in the bottom of the container. To ensure the best-quality plants, thin out plants that are 3 or 4 years old in the early spring. Oregano is self-seeding, so the plants will easily grow back. You can divide the plants in late spring if you want to put one indoors."
91,Eggplant,Solanum melongena,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/eggplant.jpg?itok=0aV667Wr,http://www.almanac.com/plant/eggplant,2,Vegetable,Full Sun,"Eggplants are short-lived perennial vegetables, but are usually cultivated as annuals. Also known as aubergines, eggplants differ mainly in size, shape and color of the fruits. Eggplants are tropical and subtropical, requiring relatively high temperatures. Related crop include tomatoes, potatoes and peppers.",null,null,"Stake plants over 24 inches tall. Water well and apply a balanced fertilizer every two weeks during the growing season. For bigger fruits, restrict to five or six per plant."
